Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm,1,Battery,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
C1,0402,1,4n7,C1538
"C10, C16, C17, C2, C3, C4, C5, C6, C7, C9",0402,10,100n,C1525
"C11, C15, C18, C23",0805,4,10u,C15850
"C12, C19, C24",0402,3,10n,C15195
"C13, C20, C25",CP_Radial_D6.3mm_P2.50mm,3,220u,
"C14, C21, C22",0805,3,22u,C45783
C8,0402,1,4.7u,C23733
"D10, D13, D14",D_SMA,3,SS34,C8678
D11,0805,1,LED_GREEN,C2297
D12,1206,1,LED_YELLOW,C2296
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
F1,FUSE_3557-15,1,10A,
J1,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,LiDAR,
J10,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Loadcell_L,
J11,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Loadcell_R,
"J12, J7",Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,2,STS3032_F,
"J13, J8",Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,2,STS3032_B,
J14,PinHeader_1x03_P2.54mm_Horizontal,1,MG90S_L,
J15,PinHeader_1x03_P2.54mm_Horizontal,1,MG90_R,
J2,Grove_1x04,1,CAM_L,
J3,Grove_1x04,1,CAM_R,
J4,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,CAM_LED_L,
J5,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,CAM_LED_R,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
J9,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,RPi,
"L1, L2, L3",FXL1040-220-M,3,22uH,C177244
MES1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Voltmeter_DC,
"Q1, Q2, Q3, Q5",TO-251-3_Vertical,4,Q_PMOS_GDS,
Q6,SOT-23,1,NPN,C7420356
Q7,SOT-23,1,PNP,C41375129
"R1, R2",0402,2,100k,C25741
"R10, R12, R13, R14, R18, R36, R38, R39, R43, R5, R7",0402,11,10k,C25744
"R11, R15, R19, R37, R42",0402,5,2k2,C25879
R16,0603,1,7k5,C23234
R17,0402,1,20k,C25765
R20,0603,1,1k2,C22765
R21,0402,1,1k,C11702
"R22, R30, R31, R32, R33",0402,5,330,C25104
R23,0402,1,10,C25077
"R24, R26",0402,2,5.1k,C25905
"R25, R27",0603,2,470,C23179
R3,0603,1,13k,C22797
R4,0603,1,1k8,C4177
R40,0603,1,2.7k,C13167
SW1,AkizukiSmallRockerSwitchHorizontal,1,SW_SPST,
"SW2, SW6, SW7",SW_PUSH_6mm,3,SW_Push,
SW5,Akizuki_3PSW,1,SW_SPDT,
U1,M51957B,1,M51957B,
"U10, U12, U4",TI_SO-PowerPAD-8_ThermalVias,3,TPS5430DDA,C9864
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U5,SSD1306,1,SSD1306,
U6,OKL-T6-W12N-C-SMD,1,OKL-T/6-W12N-C,
U7,BNO055,1,BNO055,
U8,MSOP-10_3x3mm_P0.5mm,1,CH340E,C99652
U9,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,LM358,C7950
