Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0485,-77.2,180.0,bottom
C11,131.8,-71.6,180.0,bottom
C12,131.2,-68.6,90.0,bottom
C2,114.6,-80.2,90.0,bottom
C3,118.0,-75.8,90.0,bottom
C4,118.0,-70.75,270.0,bottom
C5,107.6,-77.2,270.0,bottom
C6,106.2,-70.8,270.0,bottom
C7,114.25,-67.2,0.0,bottom
C8,118.0,-73.75,90.0,bottom
C9,109.2,-66.58,0.0,bottom
D1,131.0,-70.0,0.0,top
D2,111.0,-70.0,0.0,top
D3,133.4485,-84.4,90.0,bottom
D4,111.2485,-80.0,180.0,bottom
D5,120.0485,-84.4625,90.0,bottom
J2,112.0985,-84.4,0.0,bottom
J3,126.7285,-86.325,0.0,bottom
R1,123.0,-80.4,270.0,bottom
R2,133.4485,-88.0,270.0,bottom
R3,133.4485,-82.0,0.0,bottom
R4,107.0485,-80.0,0.0,bottom
R5,106.6,-77.2,90.0,bottom
R6,122.6,-74.8,90.0,bottom
R7,111.25,-66.69,90.0,bottom
R8,112.25,-66.68,90.0,bottom
R9,120.0485,-88.0,270.0,bottom
SW1,129.5,-79.4,0.0,bottom
SW2,129.5,-75.4,0.0,bottom
U1,120.0,-70.0,0.0,top
U3,112.0,-73.0,270.0,bottom
U4,118.8485,-79.6,270.0,bottom
U5,125.55,-69.4,180.0,bottom
